country,year,value,variable,GCM,SRES,iso
Denmark,2013,959.5923273,HDD,CCSM3x,A2,dnk
Dominican Republic,2013,10.15775134,HDD,CCSM3x,A2,dom
Bosnia &#38; Herzegovina,2013,5683.983919,HDD,CCSM3x,A2,bih
Slovakia,2013,6280.286734,HDD,CCSM3x,A2,svk
Estonia,2013,7319.397575,HDD,CCSM3x,A2,est
Solomon Is.,2013,0.113603578,HDD,CCSM3x,A2,slb
Switzerland,2013,6554.132826,HDD,CCSM3x,A2,che
Taiwan,2013,1167.088127,HDD,CCSM3x,A2,twn
Bhutan,2013,4533.256764,HDD,CCSM3x,A2,btn
Netherlands,2013,4522.503034,HDD,CCSM3x,A2,nld
Guinea-Bissau,2013,0.006599668,HDD,CCSM3x,A2,gnb
Moldova,2013,5663.270431,HDD,CCSM3x,A2,mda
Haiti,2013,0,HDD,CCSM3x,A2,hti
Belgium,2013,5019.748209,HDD,CCSM3x,A2,bel
Lesotho,2013,3981.097693,HDD,CCSM3x,A2,lso
Albania,2013,3939.474075,HDD,CCSM3x,A2,alb
Fiji,2013,0.568456755,HDD,CCSM3x,A2,fji
Armenia,2013,6979.721878,HDD,CCSM3x,A2,arm
The Bahamas,2013,14.512633,HDD,CCSM3x,A2,bhs
Equatorial Guinea,2013,1.734175294,HDD,CCSM3x,A2,gnq
Burundi,2013,30.84722598,HDD,CCSM3x,A2,bdi
Belize,2013,0.745739724,HDD,CCSM3x,A2,blz
Macedonia,2013,5302.894629,HDD,CCSM3x,A2,mkd
Rwanda,2013,143.7691224,HDD,CCSM3x,A2,rwa
New Caledonia,2013,53.26772474,HDD,CCSM3x,A2,ncl
Djibouti,2013,0.173478679,HDD,CCSM3x,A2,dji
Israel,2013,1139.893063,HDD,CCSM3x,A2,isr
El Salvador,2013,0.564075086,HDD,CCSM3x,A2,slv
Slovenia,2013,5525.209176,HDD,CCSM3x,A2,svn
Vanuatu,2013,0.296198774,HDD,CCSM3x,A2,vut
French Polynesia,2013,0,HDD,CCSM3x,A2,pyf
Kuwait,2013,683.9011217,HDD,CCSM3x,A2,kwt
Swaziland,2013,438.4927936,HDD,CCSM3x,A2,swz
Timor-Leste,2013,0.472811706,HDD,CCSM3x,A2,tls
Jamaica,2013,0.48751298,HDD,CCSM3x,A2,jam
Qatar,2013,175.8938382,HDD,CCSM3x,A2,qat
The Gambia,2013,0.064130651,HDD,CCSM3x,A2,gmb
Cyprus,2013,1539.287341,HDD,CCSM3x,A2,cyp
Lebanon,2013,2406.802287,HDD,CCSM3x,A2,lbn
Puerto Rico,2013,0,HDD,CCSM3x,A2,pri
Cape Verde,2013,4.237910185,HDD,CCSM3x,A2,cpv
Trinidad &#38; Tobago,2013,0,HDD,CCSM3x,A2,tto
Brunei,2013,0,HDD,CCSM3x,A2,brn
Occupied Palestinian Territory,2013,1362.879528,HDD,CCSM3x,A2,pse
Samoa,2013,0,HDD,CCSM3x,A2,wsm
Guadeloupe,2013,0,HDD,CCSM3x,A2,glp
Reunion,2013,0,HDD,CCSM3x,A2,reu
Comoros,2013,0.136741528,HDD,CCSM3x,A2,com
Luxembourg,2013,5614.471189,HDD,CCSM3x,A2,lux
Hong Kong,2013,0,HDD,CCSM3x,A2,hkg
Singapore,2013,0,HDD,CCSM3x,A2,sgp
Western Sahara,2013,179.1221697,HDD,CCSM3x,A2,esh
Russia,2014,8799.757838,HDD,CCSM3x,A2,rus
Canada,2014,7588.552359,HDD,CCSM3x,A2,can
United States,2014,4018.922455,HDD,CCSM3x,A2,usa
China,2014,3991.676259,HDD,CCSM3x,A2,chn
Brazil,2014,241.6616069,HDD,CCSM3x,A2,bra
Australia,2014,1813.194112,HDD,CCSM3x,A2,aus
India,2014,272.7431,HDD,CCSM3x,A2,ind
Argentina,2014,1867.573661,HDD,CCSM3x,A2,arg
Kazakhstan,2014,7887.454107,HDD,CCSM3x,A2,kaz
Sudan,2014,12.46158078,HDD,CCSM3x,A2,sdn
Algeria,2014,2024.969209,HDD,CCSM3x,A2,dza
Congo DRC,2014,54.25380726,HDD,CCSM3x,A2,cod
Indonesia,2014,0.306068872,HDD,CCSM3x,A2,idn
Mexico,2014,1127.91761,HDD,CCSM3x,A2,mex
Saudi Arabia,2014,296.1478115,HDD,CCSM3x,A2,sau
Libya,2014,991.6095937,HDD,CCSM3x,A2,lby
Iran,2014,3778.648728,HDD,CCSM3x,A2,irn
Mongolia,2014,12299.99268,HDD,CCSM3x,A2,mng
Peru,2014,2320.008398,HDD,CCSM3x,A2,per
Chad,2014,5.78676961,HDD,CCSM3x,A2,tcd
Angola,2014,71.56469262,HDD,CCSM3x,A2,ago
Mali,2014,1.311240478,HDD,CCSM3x,A2,mli
South Africa,2014,1260.716691,HDD,CCSM3x,A2,zaf
Niger,2014,7.532370465,HDD,CCSM3x,A2,ner
Colombia,2014,784.21047,HDD,CCSM3x,A2,col
Ethiopia,2014,432.5063719,HDD,CCSM3x,A2,eth
Bolivia,2014,3033.557972,HDD,CCSM3x,A2,bol
Mauritania,2014,4.130457348,HDD,CCSM3x,A2,mrt
Egypt,2014,758.38705,HDD,CCSM3x,A2,egy
Venezuela,2014,6.198087411,HDD,CCSM3x,A2,ven
Nigeria,2014,1.031816558,HDD,CCSM3x,A2,nga
Tanzania,2014,37.68320482,HDD,CCSM3x,A2,tza
Namibia,2014,500.6772233,HDD,CCSM3x,A2,nam
Chile,2014,4670.673448,HDD,CCSM3x,A2,chl
Pakistan,2014,930.5195812,HDD,CCSM3x,A2,pak
Turkey,2014,3332.997874,HDD,CCSM3x,A2,tur
Mozambique,2014,27.0297561,HDD,CCSM3x,A2,moz
Zambia,2014,165.9998278,HDD,CCSM3x,A2,zmb
Myanmar,2014,70.88866283,HDD,CCSM3x,A2,mmr
Morocco,2014,1654.431165,HDD,CCSM3x,A2,mar
Somalia,2014,2.585731306,HDD,CCSM3x,A2,som
Afghanistan,2014,5006.637498,HDD,CCSM3x,A2,afg
Central African Republic,2014,1.315060525,HDD,CCSM3x,A2,caf
Madagascar,2014,298.4876753,HDD,CCSM3x,A2,mdg
Ukraine,2014,6373.43223,HDD,CCSM3x,A2,ukr
Kenya,2014,299.0516183,HDD,CCSM3x,A2,ken
Botswana,2014,499.5515699,HDD,CCSM3x,A2,bwa
France,2014,4417.717498,HDD,CCSM3x,A2,fra
Thailand,2014,9.932520302,HDD,CCSM3x,A2,tha
Spain,2014,3147.386057,HDD,CCSM3x,A2,esp
Papua New Guinea,2014,0.765285227,HDD,CCSM3x,A2,png
Turkmenistan,2014,3830.395858,HDD,CCSM3x,A2,tkm
Cameroon,2014,1.857162169,HDD,CCSM3x,A2,cmr
Sweden,2014,4561.369978,HDD,CCSM3x,A2,swe
Iraq,2014,1323.80452,HDD,CCSM3x,A2,irq
Yemen,2014,551.0632345,HDD,CCSM3x,A2,yem
Uzbekistan,2014,4241.328156,HDD,CCSM3x,A2,uzb
Japan,2014,3965.810638,HDD,CCSM3x,A2,jpn
Paraguay,2014,338.9283724,HDD,CCSM3x,A2,pry
Zimbabwe,2014,445.3941595,HDD,CCSM3x,A2,zwe
Philippines,2014,1.786084279,HDD,CCSM3x,A2,phl
Germany,2014,5511.020791,HDD,CCSM3x,A2,deu
Norway,2014,7569.303192,HDD,CCSM3x,A2,nor
Malaysia,2014,0.478143994,HDD,CCSM3x,A2,mys
Finland,2014,8316.156697,HDD,CCSM3x,A2,fin
Congo,2014,0.154902637,HDD,CCSM3x,A2,cog
Vietnam,2014,153.9317423,HDD,CCSM3x,A2,vnm
